epoch,accuracy,loss,val_accuracy,val_loss
0,0.37669527530670166,1.3258237838745117,0.455331414937973,1.2641862630844116
1,0.641295313835144,0.9898098111152649,0.6685879230499268,0.9190401434898376
2,0.7907556295394897,0.5907597541809082,0.6743515729904175,0.8407472372055054
3,0.847771942615509,0.42192140221595764,0.6829971075057983,0.8020670413970947
4,0.8760033249855042,0.33499354124069214,0.7146974205970764,0.823834240436554
5,0.9025740623474121,0.27541258931159973,0.6974063515663147,0.8637568950653076
6,0.924162745475769,0.2241426706314087,0.6887608170509338,0.9404906630516052
7,0.9371713399887085,0.19249789416790009,0.6945244669914246,0.994400143623352
8,0.9526709318161011,0.16084077954292297,0.680115282535553,1.0917779207229614
9,0.9559922218322754,0.14079631865024567,0.6599423885345459,1.1610592603683472
10,0.9640188217163086,0.12170813232660294,0.6743515729904175,1.2073071002960205
11,0.9673401713371277,0.11108558624982834,0.6714697480201721,1.2227413654327393
12,0.9698311686515808,0.10199429839849472,0.6772334575653076,1.3453471660614014
13,0.9706615209579468,0.09715963900089264,0.6714697480201721,1.3854469060897827
14,0.9712150692939758,0.09358128160238266,0.6772334575653076,1.3548015356063843
15,0.973429262638092,0.0842345580458641,0.6685879230499268,1.467551350593567
16,0.973429262638092,0.08365962654352188,0.6743515729904175,1.4876042604446411
17,0.9753667116165161,0.07808638364076614,0.6599423885345459,1.5300800800323486
18,0.9784113168716431,0.07013596594333649,0.6685879230499268,1.552357792854309
19,0.9748131632804871,0.0772867277264595,0.6599423885345459,1.6403194665908813
20,0.9759202599525452,0.0662648007273674,0.6714697480201721,1.596950888633728
21,0.975643515586853,0.07077469676733017,0.6714697480201721,1.6274765729904175
22,0.9784113168716431,0.0694996640086174,0.6685879230499268,1.6453077793121338
23,0.977027416229248,0.0623946376144886,0.6484149694442749,1.7391831874847412
24,0.9786880612373352,0.0602281391620636,0.6570605039596558,1.6772587299346924
